X,Y
0.387717013,10.74628072
4.377074095,227.1902717
0.436813155,22.67069458
3.278660196,177.120957
5.734753263,373.6778935
9.798863269,1042.789096
9.694902544,1032.318478
3.657005347,187.7066751
8.033292716,745.1492203
7.532209542,615.5256136
0.622198526,47.7708429
2.020677148,82.56242588
8.248987405,730.843236
4.152090415,190.6416977
7.981438719,698.3458741
4.86605058,322.4508026
1.020092308,71.95801296
9.941751096,1101.815008
2.823720822,117.0230844
5.372405733,374.2791067
8.454809411,774.4805551
3.146077302,110.0243321
6.056078891,446.3077743
6.244973833,444.484103
9.968073486,1109.585733
8.587240016,780.9437081
9.761744545,1052.854018
7.960567526,677.6696694
7.47351538,616.2921526
9.232079062,927.2544882
0.339415223,51.47767622
8.709465227,846.0225707
4.957750316,286.7166376
8.024510095,720.978201
7.788435687,663.5187143
9.767845804,1071.945459
6.394853326,449.9325183
2.942074229,143.2686914
6.586812341,507.8665759
6.243953148,446.3185707
9.666455442,1043.100456
8.120710565,735.1935186
5.121161481,307.6464912
4.178052967,205.1915293
7.670859455,653.3940026
6.21093582,443.5008875
1.541973916,40.14114659
2.501013532,113.5794147
2.536121409,125.5374321
8.047036182,697.0424225
2.072127155,92.70200204
3.930749683,204.2903071
8.132985366,703.7357702
2.257395523,108.1881348
2.326434624,71.79808633
2.944411587,130.7080995
7.9787984,695.9141286
0.249771676,10.34524598
9.641328726,1017.440191
3.132739759,174.9485844
1.033611837,81.0795921
5.945523962,422.2109278
4.104132398,203.5255688
2.78510465,97.63302872
2.798473542,150.8759259
4.663418798,238.1907514
2.795399911,102.5058483
8.414239861,802.332425
2.9346931,118.1225156
4.479844861,274.2074698
4.135009595,188.9462813
0.682528949,47.20731633
4.047400624,243.133712
7.39045243,584.1888225
1.371276702,25.27873804
0.859846693,75.84374794
7.743402261,653.0452192
6.942867277,554.7638561
2.12658045,76.92547254
2.633045713,101.3614534
1.798801976,66.21496049
0.749627551,25.16709247
8.906247609,884.8590386
4.692808306,239.5445195
8.209672926,779.2305215
0.135600304,15.59161244
6.258012276,447.2220427
7.318303075,629.688032
6.042245462,417.0961617
1.192114397,69.69524892
6.092249326,449.040062
7.624714324,646.6881828
5.50209524,326.9249441
9.694482278,1012.051869
4.806807819,290.5116483
6.957500006,576.7040463
9.287092247,934.3188327
2.766078629,102.7248385
6.069719415,420.7268837
5.646968289,377.6417784
9.243190691,968.2209558
7.696214809,690.468951
7.228858583,586.7338461
7.744058785,678.1328407
4.341337139,230.7410964
4.363058476,214.3315032
1.315860454,83.41133897
6.86681824,564.2402725
5.782949494,377.5197941
9.819372293,1033.294369
0.896913363,26.03947232
8.588948142,824.3834946
6.584998235,508.1520287
9.065150673,923.3629154
7.327250597,631.9591671
5.512327088,358.4871833
2.360155155,121.6929434
0.729856328,46.93164488
2.605612502,91.77447772
2.489842677,109.0797406
8.377454836,776.2412272
5.621344224,346.4805211
6.145451415,427.4890627
7.396409623,602.047696
9.243416302,939.6367563
5.721358449,394.8966303
5.600669828,369.9896332
9.752208828,1008.901106
0.406398049,4.973663014
3.028976777,145.8872543
3.53778023,150.7741473
4.456491036,264.9400415
0.524082685,60.41924889
8.005084414,693.3833971
2.476410559,90.887671
2.614841372,92.10930604
1.400725807,32.54821128
7.40695146,603.2070211
8.728446136,828.9093114
1.978397696,48.80652336
7.926358486,681.472563
9.800986489,1038.725488
5.136486967,312.1365787
4.900760696,292.2080373
3.020258848,120.4963394
5.001169271,334.0240285
5.049443956,307.8582705
8.469018826,766.8254504
3.886316009,189.4304267
2.730618787,142.003544
7.208660307,599.5202102
5.650201919,381.2544268
2.862490552,150.8547276
6.187200203,445.3581673
0.110530736,40.75162858
4.161862554,204.5227115
3.289268977,147.2555564
9.475343335,961.8006912
7.899233601,673.3713618
1.561927631,31.62023373
9.591226606,1024.056366
7.393103485,602.0482635
4.672758837,264.2687994
6.199725067,466.0729493
4.275771257,238.9699669
0.204752767,29.81734483
5.625858746,372.9097627
9.453439524,1010.162551
7.379549579,609.8728329
8.989302876,893.9464514
6.575662111,501.3201233
2.458096027,87.80487992
7.943419239,692.4686172
5.735269922,369.7821611
7.932799304,726.4692917
4.689714409,269.883314
7.702267781,642.8167962
6.722911603,520.8498276
3.998436064,189.6653144
2.608857458,92.04573871
2.296618589,85.09923407
2.610199708,141.1224273
3.177901165,143.5254109
8.149367084,713.8674965
0.287351318,17.54106509
1.292685674,28.08071988
8.749300677,863.3378178
9.515877294,1006.871104
0.842574684,24.48704163
1.4826924,77.97628525
4.038787423,228.4619909
8.985532609,896.6530135
9.044236137,882.7421619
9.038945222,869.6024788
6.279475664,456.6403762
5.941575482,412.37682
9.666370755,1031.519055
1.38832708,74.67944038
8.465388858,820.7477747
0.098827173,56.96828832
2.934901072,97.25008443
7.773478797,649.5150682
1.758792701,38.59559926
9.019843335,860.1290443
5.224290474,329.7299743
8.684271691,841.0186767
1.560771496,83.22431977
8.502463621,812.2908078
0.560270113,43.69443691
1.306855574,38.34352717
5.426290162,334.9272208
2.501219152,117.5827672
9.591664624,1030.605445
2.712134487,138.9806416
1.210553451,36.00577939
6.14689832,465.4731596
8.670831115,810.2246213
5.224695036,350.1238246
2.842140699,135.9243816
1.89021592,107.374238
4.973642438,268.0534866
6.102718192,399.1648726
5.287929207,322.4930404
3.50102525,188.499005
4.610456332,254.589876
8.617669536,797.7476952
6.15894365,450.4637162
6.181245981,413.5010046
4.322160851,205.35973
4.682956531,250.3522366
9.149558508,935.8572002
9.931140341,1067.188316
9.101576885,940.355273
0.867612215,45.05488021
6.094204022,401.8872784
1.909828174,106.501507
1.801486981,104.1965449
4.913688409,320.1565197
6.269210414,485.1288468
1.961900391,55.17187783
1.712069364,102.843192
9.715704959,998.5324561
6.390421449,483.9106962
2.554775635,137.0128338
6.289792057,456.9684686
6.380459041,482.1404022
8.612635734,819.7596707
1.990245121,97.19543098
3.61207072,162.2808745
9.312756709,950.7022801
6.547708674,470.1845096
4.700747884,295.6237387
8.3919524,759.0126502
1.849084523,84.82800044
0.104205285,49.43061909
5.444230984,338.8127414
3.067537589,170.0336143
2.19653471,58.71065905
4.249396937,209.0193712
6.619751528,523.6742797
5.109077038,283.0691285
4.69448918,291.5193957
3.24439516,153.7822774
0.177104421,22.87540053
9.025087295,898.0878325
3.324210633,144.8275877
9.426660775,954.6713532
4.320894051,221.3733862
7.43358992,634.5394405
9.575339011,1020.039815
2.743389916,141.164398
4.053799346,204.4315559
8.865294373,839.9834108
5.529985602,341.5184629
9.675061385,991.8311184
2.47963541,111.9326229
6.428505333,472.6818129
4.337040768,260.057174
9.501373393,1015.695072
9.444450125,1003.442027
1.977143521,93.16655501
4.99006064,303.104693
2.1154692,75.20784202
9.270916105,950.0821849
1.188625438,70.99813932
6.787940666,513.4896312
5.007583423,292.7198631
9.961887048,1050.168089
1.884206348,73.95702957
5.836842127,400.9607298
1.826478613,79.77951494
6.174809228,418.9346179
7.261428028,583.6024363
2.898220303,126.1412014
3.890437839,227.9736013
9.936460474,1055.168577
9.265599802,940.4509762
3.747878534,163.8543822
1.654753288,69.75329564
3.890330493,176.7109241
2.523959624,91.31756453
1.692299567,83.68132016
7.896644604,662.3634969
3.950221526,207.901529
0.788925339,25.45922375
0.580758299,17.92452506
8.30366167,773.4106355
8.643662463,856.7572301
2.25922109,63.73733923
8.030266436,739.1602279
3.332035956,171.3184743
4.270084004,259.1539415
3.900965664,221.5902329
9.815795163,1028.740123
8.431896603,766.0443509
3.299290276,147.2161052
9.828334185,1050.992723
7.619259848,653.0673163
1.618568319,60.06526983
3.484174069,140.1240523
3.286038412,165.7166949
0.480802076,12.92731237
6.461019668,506.5709846
7.789979703,666.3697409
9.483579838,992.4340778
5.450932943,334.4298413
8.591178752,817.3403056
4.004827083,220.4095547
4.074730625,221.3215521
9.358405843,977.5289886
6.814463873,555.5515813
3.185432933,157.5185942
8.674124314,817.7756788
5.089266707,303.8589789
2.973163389,126.7402773
9.392007945,997.9827344
6.006278139,418.058484
0.728332193,56.42869041
9.54833743,1007.414261
9.294899473,956.0583968
6.881921044,511.3880355
6.743419366,488.7262088
7.132816573,582.0822491
8.847126656,856.2443814
3.75685578,165.9310359
7.0105796,526.3154256
5.005231159,312.8407541
2.17087815,86.38880862
8.343554045,751.9174486
3.278505634,149.7559123
9.28832489,952.9286843
9.719901158,1028.786366
0.963294254,48.95873523
8.907318006,901.3664924
1.512313914,65.7010522
8.021654623,724.0705172
8.218405351,747.6867909
7.31116356,589.036739
8.988450036,890.058269
8.844380708,847.3631963
1.038802178,65.20018137
3.626648552,183.7379541
6.151375494,455.0920272
9.842176165,1068.724849
9.560299033,1006.564567
2.068653131,63.53502509
9.958673917,1048.310811
4.244327173,258.9372043
4.132220349,211.6436901
1.381282344,84.40620327
2.410889801,115.523432
9.022240589,910.0738641
0.914696085,46.35793398
9.467892797,998.6668116
0.459258489,24.76862457
7.722924302,694.6369808
2.121148859,67.24256583
